Unit,Module,Question,Question ID,Blank,Choices,Correct Answer
_u2_summarizing_data,_m1_examining_distributions,"Now find the median reading level of the patients: Note that the data are already ordered—that's good! We have n = _________(A) observations of the reading level of cancer patients.Since n is _________(B), the median reading level will be the _________(C) in the ordered data, which in this case is the _________(D) ranked observation.The median reading level is therefore _________(E).",0,A,"{'one': '12', 'two': '30', 'three': '63', 'four': '93'}",63
_u2_summarizing_data,_m1_examining_distributions,"Now find the median reading level of the patients: Note that the data are already ordered—that's good! We have n = _________(A) observations of the reading level of cancer patients.Since n is _________(B), the median reading level will be the _________(C) in the ordered data, which in this case is the _________(D) ranked observation.The median reading level is therefore _________(E).",0,B,"{'one': 'even', 'two': 'odd'}",odd
_u2_summarizing_data,_m1_examining_distributions,"Now find the median reading level of the patients: Note that the data are already ordered—that's good! We have n = _________(A) observations of the reading level of cancer patients.Since n is _________(B), the median reading level will be the _________(C) in the ordered data, which in this case is the _________(D) ranked observation.The median reading level is therefore _________(E).",0,C,"{'one': 'center observation', 'two': 'average of the two center observations'}",center observation
_u2_summarizing_data,_m1_examining_distributions,"Now find the median reading level of the patients: Note that the data are already ordered—that's good! We have n = _________(A) observations of the reading level of cancer patients.Since n is _________(B), the median reading level will be the _________(C) in the ordered data, which in this case is the _________(D) ranked observation.The median reading level is therefore _________(E).",0,D,"{'one': '31st', 'two': '32nd', 'three': '63rd'}",32nd
_u2_summarizing_data,_m1_examining_distributions,"Now find the median reading level of the patients: Note that the data are already ordered—that's good! We have n = _________(A) observations of the reading level of cancer patients.Since n is _________(B), the median reading level will be the _________(C) in the ordered data, which in this case is the _________(D) ranked observation.The median reading level is therefore _________(E).",0,E,"{'one': '7', 'two': '7.5', 'three': '8', 'four': '9'}",9
_u2_summarizing_data,_m1_examining_distributions,Here are the number of hours that 9 students spend on the computer on a typical day: 1 6 7 5 5 8 11 12 15 The mean number of hours spent on the computer is: _________(A),1,A,"{'one': '7.00', 'two': '7.78', 'three': '8.23', 'four': '9.14'}",7.78
_u2_summarizing_data,_m1_examining_distributions,The mode of the readability level for the pamphlets is _________(B) Note that the frequencies of each level have already been determined.,2,B,"{'one': '8', 'two': '16', 'three': '1', 'four': '17'}",8
_u2_summarizing_data,_m1_examining_distributions,Here are the number of hours that 9 students spend on the computer on a typical day: 1 6 7 5 5 8 11 12 15 The mode number of hours spent on the computer is _________(A).,3,A,"{'one': '5', 'two': '5.5', 'three': '7.5', 'four': '8'}",5
_u2_summarizing_data,_m1_examining_distributions,Here are the number of hours that 15 students spend on the computer on a typical day: 1 1 2 3 6 7 5 5 5 8 8 8 11 12 15 The mode number of hours spent on the computer is: _________(A),4,A,"{'one': '1', 'two': '5', 'three': '8', 'four': '5 and 8', 'fifth': 'Unable to determine'}",5 and 8
_u2_summarizing_data,_m2_examining_relationships,The number of females in our sample who feel that they are underweight is _________(A).The number of males in our sample who feel that they are about right is _________(B).The total number of females in our sample is _________(C).The total number of students who feel they are overweight is _________(D).,5,A,"{'one': '37', 'two': '110', 'three': '163', 'four': '760'}",37
_u2_summarizing_data,_m2_examining_relationships,The number of females in our sample who feel that they are underweight is _________(A).The number of males in our sample who feel that they are about right is _________(B).The total number of females in our sample is _________(C).The total number of students who feel they are overweight is _________(D).,5,B,"{'one': '295', 'two': '440', 'three': '560', 'four': '855'}",295
_u2_summarizing_data,_m2_examining_relationships,The number of females in our sample who feel that they are underweight is _________(A).The number of males in our sample who feel that they are about right is _________(B).The total number of females in our sample is _________(C).The total number of students who feel they are overweight is _________(D).,5,C,"{'one': '440', 'two': '560', 'three': '760', 'four': '1200'}",760
_u2_summarizing_data,_m2_examining_relationships,The number of females in our sample who feel that they are underweight is _________(A).The number of males in our sample who feel that they are about right is _________(B).The total number of females in our sample is _________(C).The total number of students who feel they are overweight is _________(D).,5,D,"{'one': '110', 'two': '163', 'three': '235', 'four': '1200'}",235
_u2_summarizing_data,_m2_examining_relationships,The results suggest that the proportion of males who are happy with their body weight is _________(A) than among female students. Females who are not happy with their body weight more often feel they are _________(B). Males who are not happy with their body weight feel they are overweight _________(C) they feel they are underweight.,6,A,"{'one': 'slightly greater', 'two': 'slightly less'}",slightly less
_u2_summarizing_data,_m2_examining_relationships,The results suggest that the proportion of males who are happy with their body weight is _________(A) than among female students. Females who are not happy with their body weight more often feel they are _________(B). Males who are not happy with their body weight feel they are overweight _________(C) they feel they are underweight.,6,B,"{'one': 'about right', 'two': 'overweight', 'three': 'underweight'}",overweight
_u2_summarizing_data,_m2_examining_relationships,The results suggest that the proportion of males who are happy with their body weight is _________(A) than among female students. Females who are not happy with their body weight more often feel they are _________(B). Males who are not happy with their body weight feel they are overweight _________(C) they feel they are underweight.,6,C,"{'one': 'about as often as', 'two': 'much more often than', 'three': 'much less often than'}",about as often as
_u2_summarizing_data,_m2_examining_relationships,"We would like to learn about the relationship between the two categorical variables ""parents' smoking"" and ""students' smoking."" More specifically, since we want to explore whether parents' smoking habits affect their children's smoking habits, the explanatory variable is _________(A) and the response variable is _________(B).",7,A,"{'one': ""students' smoking"", 'two': ""parents' smoking""}",parents' smoking
_u2_summarizing_data,_m2_examining_relationships,"We would like to learn about the relationship between the two categorical variables ""parents' smoking"" and ""students' smoking."" More specifically, since we want to explore whether parents' smoking habits affect their children's smoking habits, the explanatory variable is _________(A) and the response variable is _________(B).",7,B,"{'one': ""students' smoking"", 'two': ""parents' smoking""}",students' smoking
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",8,A,"{'one': 'explanatory', 'two': 'response'}",response
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",8,B,"{'one': 'explanatory', 'two': 'response'}",explanatory
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",8,C,"{'one': 'explanatory', 'two': 'response'}",explanatory
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",8,D,"{'one': 'explanatory', 'two': 'response'}",response
