Gender,Height,GPA,HS_GPA,Seat,WtFeel,Cheat
Female,64,2.6,2.63,M,AboutRt,No
Male,69,2.7,3.72,M,AboutRt,No
Female,66,3,3.44,F,AboutRt,No
Female,63,3.11,2.73,F,AboutRt,No
Male,72,3.4,2.35,B,OverWt,No
Female,67,3.43,3.84,M,AboutRt,No
Male,69,3.7,4,F,NA,No
Male,74,3.7,3.92,B,AboutRt,No
Male,72,3.77,3.09,M,UnderWt,No
Female,63,3.5,4,F,AboutRt,No
Male,68.5,3,3.43,F,OverWt,No
Male,70,3,3.62,M,AboutRt,No
Male,71,3.5,3.49,F,AboutRt,No
Male,68,3.25,3.09,M,UnderWt,No
Female,60,2.83,3.22,M,AboutRt,No
Male,71,2.62,2.52,F,OverWt,No
Female,68,3.15,2.36,M,AboutRt,No
Female,67,4.2,4,M,AboutRt,Yes
Female,66,3.7,4,F,OverWt,Yes
Male,69,4.38,4,M,UnderWt,No
Male,69,3.65,3.54,M,UnderWt,No
Male,68,3.6,4,M,AboutRt,No
Female,67,3,3.08,M,AboutRt,No
Female,65,2.25,2.49,M,AboutRt,No
Female,61,4.03,3.6,M,AboutRt,No
Female,61,2.54,3.5,M,AboutRt,No
Female,64,2.6,3.22,M,OverWt,No
Female,68,NA,NA,M,AboutRt,Yes
Male,69,3,3.66,B,UnderWt,No
Male,68,2.93,3.02,M,OverWt,No
Male,72,3.2,2.84,B,AboutRt,No
Female,68,NA,NA,B,OverWt,No
Female,64,3,3.03,M,AboutRt,No
Female,65.5,3.4,3.49,F,AboutRt,No
Female,67,2.5,3.21,M,NA,No
Female,70,3,3.43,M,NA,No
Female,67,3.51,2.63,M,AboutRt,No
Female,62.5,2.37,2.65,M,AboutRt,No
Female,67,NA,NA,M,AboutRt,No
Female,67,3.5,3.98,M,AboutRt,No
Female,62,3,2.7,B,AboutRt,Yes
Female,62,2.9,2.86,M,OverWt,No
Female,64,3.9,3.91,M,AboutRt,Yes
Female,66,2.65,3.63,M,AboutRt,No
Female,65,3.5,3.11,M,AboutRt,No
Female,67,3.3,3.34,M,AboutRt,No
Male,64,3.4,3.52,M,AboutRt,Yes
Male,76,3.6,3.55,M,AboutRt,No
Male,68,3.21,3.47,M,UnderWt,No
Male,68,3.1,3.27,B,AboutRt,No
Male,70,3.85,4,M,OverWt,No
Male,62,3.2,3.9,M,AboutRt,No
Male,69,2.5,2.98,B,AboutRt,No
Male,67,2.5,2.96,M,AboutRt,No
Male,76.5,NA,NA,M,AboutRt,No
Female,64.5,2.9,3.81,M,AboutRt,No
Female,70,4.2,4,M,AboutRt,No
Female,63,2.8,2.71,F,AboutRt,No
Male,72,2.6,3.05,M,OverWt,No
Male,64,3.05,2.33,B,AboutRt,No
Male,70,3.7,3.38,F,AboutRt,No
Male,68,4,3.48,F,AboutRt,No
Female,65,3.5,3.93,B,AboutRt,No
Female,60,3.22,3.45,F,OverWt,No
Female,69,2.9,3.19,B,NA,No
Male,73,3.25,3.87,B,OverWt,No
Male,76.5,3.26,3.28,F,AboutRt,Yes
Female,64,3,3.76,F,AboutRt,No
Female,62,NA,NA,M,AboutRt,No
Male,72,2.01,2.75,M,AboutRt,No
Female,63,3.71,4,F,NA,Yes
Female,64,3.87,4,M,AboutRt,No
Male,64,3.26,4,F,AboutRt,No
Male,71,2.5,2.57,M,AboutRt,No
Male,73,2.9,2.12,M,UnderWt,No
Female,62,3.6,3.41,M,NA,No
Male,72,3.9,4,M,UnderWt,No
Male,71,2,2.87,F,AboutRt,No
Male,65,3.2,2.97,M,AboutRt,No
Female,72,3.3,3.31,M,OverWt,No
Female,63,2.8,2.91,M,OverWt,No
Female,67,3.8,4,M,AboutRt,No
Male,69,3,3.43,M,AboutRt,No
Female,63,2.23,1.49,M,OverWt,No
Female,68,3.876,3.71,F,AboutRt,Yes
Female,64,3.01,3.48,M,AboutRt,No
Male,66,2.5,2.94,M,OverWt,No
Female,72,3,4,M,OverWt,No
Female,59.5,2.79,2.87,M,OverWt,No
Female,65,3.8,4,M,AboutRt,No
Female,68,3.25,3.04,F,AboutRt,No
Female,66,2.8,3.37,M,OverWt,No
Male,73,3.39,3.53,F,UnderWt,No
Female,65,2.64,3.75,M,AboutRt,No
Female,61,3.65,3.28,M,AboutRt,No
Female,66,3.4,3.67,F,OverWt,No
Female,62.5,3.33,3.95,F,OverWt,No
Female,65,3.9,4,F,OverWt,Yes
Female,65,2.54,2.62,M,UnderWt,No
Female,63,2.8,2.77,M,AboutRt,Yes
Male,68,3.5,3.54,M,OverWt,No
Male,67,3.1,4,M,AboutRt,No
Male,70,2.66,2.32,M,AboutRt,No
Male,70,1.91,2.65,M,OverWt,No
Male,65,2.8,3.54,M,AboutRt,No
Female,70,2.8,3.03,M,OverWt,No
Male,70,2.7,3.61,M,AboutRt,No
Female,64,3.8,4,F,AboutRt,No
Female,63,3.24,3.79,F,AboutRt,No
Female,68,2.58,1.95,B,AboutRt,No
Female,63.5,3.17,2.08,M,AboutRt,No
Female,67.5,2.6,2.18,M,AboutRt,No
Female,66,2.58,3.34,M,OverWt,No
Female,66,2,2.27,F,AboutRt,No
Female,63,3.44,3.79,F,AboutRt,No
Female,63,2.9,2.7,B,OverWt,Yes
Female,61,2.7,4,M,AboutRt,No
Male,72,3.5,3.94,M,AboutRt,No
Male,70,3,3.31,M,OverWt,No
Male,71,2.44,2.42,F,AboutRt,No
Male,71,2,1.89,M,AboutRt,No
Male,67,3.34,4,M,UnderWt,No
Male,69,3.83,4,M,AboutRt,No
Male,72,1.92,2.26,F,AboutRt,No
Male,74,2.7,2.48,M,UnderWt,No
Female,63,3.9,3.82,M,AboutRt,Yes
Female,61,2.33,2.93,M,AboutRt,No
Female,66,NA,NA,M,AboutRt,No
Female,63,1.96,1.52,F,AboutRt,No
Female,66,3,3.3,M,AboutRt,No
Female,67,3,3.23,F,AboutRt,No
Female,64,3.4,3.94,B,AboutRt,No
Female,66,2.05,2.46,F,AboutRt,No
Female,68,3.1,2.72,M,OverWt,No
Female,62,3,3.17,M,OverWt,No
Female,66,3,2.81,M,OverWt,No
Female,63,3.25,2.83,M,AboutRt,No
Female,66,3.92,4,B,AboutRt,No
Female,66,4,4,F,AboutRt,No
Female,69,3,3.34,B,AboutRt,No
Male,74,3.26,4,M,OverWt,No
Male,70,2.8,2.69,B,AboutRt,No
Female,68,2.84,2.52,B,UnderWt,No
Male,68,2.8,3.65,B,AboutRt,No
Male,71,2.87,3.45,B,AboutRt,No
Female,64,2.1,2.52,M,AboutRt,No
Female,69,2.77,3.04,M,AboutRt,No
Male,72,2.95,2.8,B,AboutRt,No
Male,63,3.7,4,M,AboutRt,No
Female,62,3.89,3.87,F,AboutRt,No
Female,65,3.5,3.73,F,AboutRt,No
Female,61,NA,NA,M,AboutRt,No
Female,67,3,3.96,M,AboutRt,No
Male,69,3.88,4,M,AboutRt,No
Female,64,3,2.45,M,UnderWt,Yes
Female,62,4,4,B,AboutRt,No
Female,64,3.2,3.46,B,OverWt,No
Female,66,3.2,3.42,M,AboutRt,No
Female,63,3.57,3.54,M,AboutRt,No
Female,61,3,3.48,M,AboutRt,No
Female,67,2.96,3.9,M,AboutRt,No
Female,67,2.5,3,B,AboutRt,No
Female,63.5,2.67,3.32,F,UnderWt,Yes
Female,60,3,2.82,F,UnderWt,No
Female,67,2.7,2.41,M,AboutRt,No
Female,61,3.8,3.98,M,AboutRt,No
Female,64,2.5,2.98,M,AboutRt,No
Female,61,3.1,3.3,F,AboutRt,No
Female,68,3.5,4,B,OverWt,No
Female,63,3.87,3.73,M,AboutRt,No
Female,67,3.4,4,M,AboutRt,No
