Age,Gender,Comp
46,Female,2
76,Female,1
51,Female,6
62,Female,6
24,Female,12
20,Female,16
42,Female,0
40,Female,6
25,Female,21
28,Female,11
75,Female,1
30,Female,18
24,Female,16
32,Female,21
36,Female,15
27,Female,20
56,Female,1
59,Female,7
25,Female,25
58,Female,1
62,Female,5
59,Female,1
30,Female,22
38,Female,15
23,Female,24
88,Female,1
76,Female,1
21,Female,20
27,Female,23
31,Female,18
64,Female,1
57,Female,8
34,Female,14
75,Female,1
31,Female,23
41,Female,12
25,Female,27
32,Female,28
56,Female,9
21,Female,21
45,Female,9
89,Female,0
49,Female,8
32,Female,24
21,Female,23
25,Female,26
45,Female,8
35,Female,15
28,Female,27
31,Female,15
43,Female,9
29,Female,16
52,Female,9
53,Female,11
36,Female,12
55,Female,4
46,Female,11
52,Female,4
32,Female,23
89,Female,0
47,Female,11
18,Female,19
25,Female,20
53,Female,5
53,Female,4
57,Male,10
49,Male,6
26,Male,14
21,Male,15
49,Male,8
29,Male,20
39,Male,10
34,Male,20
23,Male,15
26,Male,14
61,Male,0
27,Male,22
41,Male,9
41,Male,8
55,Male,11
52,Male,13
51,Male,9
39,Male,13
61,Male,4
31,Male,19
37,Male,10
40,Male,12
47,Male,6
33,Male,13
28,Male,13
28,Male,28
53,Male,4
51,Male,6
37,Male,16
25,Male,18
19,Male,16
54,Male,9
42,Male,8
84,Male,0
74,Male,3
59,Male,9
39,Male,10
20,Male,23
65,Male,0
26,Male,15
65,Male,1
23,Male,13
42,Male,9
36,Male,5
29,Male,23
25,Male,14
46,Male,4
55,Male,9
30,Male,21
28,Male,22
44,Male,8
59,Male,3
56,Male,12
55,Male,4
41,Male,16
57,Male,6
19,Male,19
27,Male,18
50,Male,2
26,Male,17
34,Male,10
22,Male,13
33,Male,17
21,Male,16
28,Male,27
64,Male,9
29,Male,18
33,Male,27
56,Male,7
41,Male,11
27,Male,18
59,Male,10
34,Male,11
20,Male,12
73,Male,1
31,Male,22
31,Male,24
38,Male,12
25,Male,19
59,Male,4
64,Male,1
35,Male,13
34,Male,20
61,Male,3
25,Male,14
46,Male,0
18,Male,16
27,Male,18
84,Male,0
51,Male,5
31,Male,20
68,Female,2
28,Female,14
28,Female,21
32,Female,18
46,Female,11
48,Female,16
31,Female,26
22,Female,20
43,Female,7
31,Female,20
36,Female,16
26,Female,19
51,Female,4
79,Female,1
47,Female,11
49,Female,11
85,Female,0
20,Female,12
57,Female,0
25,Female,16
48,Female,11
48,Female,4
24,Female,15
37,Female,6
57,Female,0
58,Female,4
71,Female,3
35,Female,8
76,Female,0
20,Female,27
68,Female,1
47,Female,3
43,Female,5
26,Female,22
67,Female,6
27,Female,16
36,Female,14
28,Female,14
75,Female,1
34,Female,24
34,Female,16
45,Female,10
40,Female,12
48,Female,10
39,Female,14
44,Female,9
28,Female,22
32,Female,26
28,Female,26
59,Female,2
23,Female,17
43,Female,11
68,Female,9
49,Female,6
88,Female,1
34,Female,12
37,Female,9
42,Female,11
24,Female,21
67,Female,8
57,Female,8
27,Female,22
23,Female,22
50,Female,8
32,Female,19
57,Female,9
38,Female,8
78,Female,0
31,Female,19
23,Female,20
31,Female,23
27,Female,19
38,Female,11
42,Male,12
21,Male,20
30,Male,19
23,Male,12
28,Male,15
70,Male,0
55,Male,4
27,Male,28
43,Male,9
38,Male,14
69,Male,2
75,Male,4
60,Male,7
24,Male,19
39,Male,13
44,Male,17
57,Male,0
78,Male,0
64,Male,10
34,Male,11
76,Male,3
59,Male,10
41,Male,16
30,Male,19
55,Male,7
45,Male,11
43,Male,7
55,Male,5
34,Male,17
40,Male,23
61,Male,2
74,Male,2
30,Male,29
68,Male,0
23,Male,19
39,Male,16
44,Male,10
39,Male,17
19,Male,13
26,Male,18
40,Male,6
18,Male,29
29,Male,17
35,Male,15
28,Male,19
33,Male,20
25,Male,20
49,Male,5
49,Male,5
78,Male,0
