Course,Handed,Sex,Verbal,Age
 Social,left,male,470,18.83
 Social,right,female,650,18.67
 Social,right,male,580,20.08
 Social,right,female,660,18.5
 Social,right,female,790,24.25
 Social,right,female,640,20.33
 Social,left,female,660,19.17
 Social,right,female,560,19.25
 Social,right,female,560,18.92
 Social,right,female,540,19.08
 Social,right,female,620,18.42
 Social,left,male,640,18.75
 Social,right,female,550,18.25
 Social,right,male,400,19.25
 Social,right,male,430,21
 Social,right,male,630,20.42
 Social,right,female,630,18.5
 Social,right,male,720,22.67
 Social,right,female,NA,23
 Social,right,female,660,18.83
 Social,right,female,520,18.83
 Social,right,female,640,18.5
 Social,right,male,580,19.08
 Social,left,female,730,18.08
 Social,left,female,550,20.33
 Social,right,male,600,18.33
 Social,right,female,530,18.67
 Social,right,female,650,18.58
 Social,right,female,800,20.92
 Social,right,female,730,18.5
 Social,right,male,730,20.17
 Social,right,female,610,19.67
 Social,right,female,530,18.83
 Social,right,female,550,18.42
 Social,left,male,590,19.17
 Social,right,female,650,NA
 Social,right,female,NA,19.67
 Social,right,male,690,19.17
 Social,right,female,600,19
 Social,right,female,NA,19.42
 Social,right,female,NA,20.83
 Social,right,female,510,18.83
 Social,right,female,530,20.33
 Social,right,female,700,18.83
 Social,left,female,550,19.33
 Social,right,female,660,18
 Social,right,male,NA,26.33
 Social,right,female,600,18.33
 Social,right,female,680,20.08
 Social,left,female,560,18.92
 Social,right,male,530,20.75
 Social,right,male,550,18.92
 Social,right,female,600,19.67
 Social,left,male,630,19.83
 Social,right,female,540,18.75
 Social,right,female,580,18.42
 Social,left,female,710,18.83
 Social,right,male,750,19.08
 Social,right,female,600,20.33
 Social,left,male,650,21.5
 Social,right,female,680,18.83
 Social,right,female,NA,20.25
 Social,right,female,580,20.42
 Social,right,male,480,20.92
 Social,right,female,600,21.42
 Social,left,female,600,19.92
 Social,left,male,510,23
 Social,right,female,610,21.33
 Social,right,female,650,30.92
 Social,right,female,520,20
 Social,right,male,540,20.25
 Social,right,female,650,20.17
Natural,right,female,610,31.17
Natural,right,female,540,19.17
Natural,right,female,680,20.75
Natural,right,male,580,19.92
Natural,right,male,640,24.92
Natural,right,female,400,20.08
Natural,right,female,NA,19.83
Natural,right,male,670,21.83
 Social,right,female,640,18.33
Natural,right,male,720,19.92
Natural,right,female,NA,23.42
Natural,right,male,770,19.75
Natural,right,female,520,20.67
Natural,right,male,630,18.83
Natural,right,male,480,18.42
Natural,right,male,NA,20.5
Natural,right,male,660,18.5
Natural,right,male,700,19.33
Natural,right,male,490,21
Natural,right,female,670,19.67
Natural,right,male,660,20.25
Natural,right,female,550,19.67
Natural,right,female,650,19.5
Natural,right,male,620,19.25
Natural,right,female,610,18.75
Natural,right,male,450,22.33
Natural,right,female,530,18.92
Natural,right,male,580,20.83
Natural,left,female,630,18.92
Natural,right,male,620,18.83
Natural,left,male,600,19.92
Natural,right,female,500,19.42
Natural,right,female,620,20.5
Natural,right,female,710,18.75
Natural,right,female,580,19.58
Natural,right,male,580,19.5
Natural,right,female,590,18.92
Natural,right,female,560,19.5
Natural,right,female,460,18.17
Natural,right,female,NA,19.08
Natural,left,female,560,18.92
Natural,right,male,590,18.75
Natural,right,female,600,19.75
Natural,right,female,560,22.58
Natural,right,female,540,44.67
Natural,right,female,710,NA
Business,right,male,500,18.08
Business,right,female,640,19.92
Business,right,male,530,19.58
Business,left,male,480,18.5
Natural,right,male,540,20.08
Natural,right,male,540,21.25
Natural,right,female,740,19.75
