time.women,time.men
180,390
150,590
130,580
990,290
470,380
260,1130
550,330
1670,280
470,220
250,370
660,570
120,1810
260,550
860,270
940,860
250,960
540,830
270,760
420,2700
210,660
340,560
270,630
850,1060
130,350
1010,990
160,400
1110,850
410,730
830,280
220,220
260,370
320,430
530,660
1350,430
260,280
490,220
540,540
2120,490
460,250
540,210
300,1100
1240,890
210,660
270,350
230,300
400,470
130,1280
160,280
860,500
430,290
1200,820
230,430
1120,1150
130,330
620,360
360,210
380,320
730,390
400,290
290,270
1510,1110
480,430
710,250
540,250
300,240
200,220
440,2190
320,740
200,970
420,920
700,650
260,540
1560,2110
290,740
500,970
440,1480
140,1580
280,620
250,1150
360,710
620,310
160,400
680,1000
290,400
190,510
400,350
360,510
890,560
400,1690
460,400
210,610
230,950
530,780
360,930
280,270
540,2140
330,280
520,260
370,230
1430,560
140,360
650,650
700,650
1190,760
180,690
680,1460
330,220
430,1980
290,920
310,250
490,1330
160,480
320,1560
550,1000
610,350
420,420
540,1380
260,590
210,230
270,740
360,470
340,540
310,200
490,1320
130,660
2060,1250
170,730
1400,260
290,760
790,530
170,410
280,210
430,380
2650,1800
910,460
580,360
240,390
590,210
130,200
200,1320
770,1350
260,620
160,310
210,620
270,340
1280,240
210,670
270,2610
280,510
280,920
150,1080
650,230
1010,230
130,670
510,470
1390,500
410,1270
740,340
560,330
250,590
1120,1840
220,310
1370,770
400,1550
470,500
230,480
290,290
130,480
500,650
560,250
270,690
710,390
210,650
130,960
1350,360
990,1620
1150,750
340,290
570,210
370,700
1250,590
160,220
890,220
300,650
280,1220
760,360
490,310
200,660
730,820
480,360
930,1610
,730
,540
,240
,470
,610
,390
,320
,1930
,380
,220
,410
,640
,520
,640
,390
,490
,210
,1390
