Score,Gender
15,Female
13,Male
10,Female
12,Female
14,Male
14,Female
6,Male
17,Male
13,Male
1,Female
10,Male
10,Male
20,Male
15,Male
5,Female
5,Male
10,Female
20,Female
10,Female
15,Male
20,Male
13,Male
15,Female
15,Female
10,Female
13,Female
11,Female
12,Female
15,Male
12,Male
10,Male
10,Female
12,Female
NA,Female
17,Female
10,Female
15,Female
15,Female
10,Female
13,Female
10,Female
5,Female
5,Female
13,Female
12,Female
13,Female
12,Male
12,Male
8,Male
12,Male
7,Male
12,Male
13,Male
15,Male
13,Male
12,Female
8,Female
18,Female
16,Male
10,Male
11,Male
12,Male
10,Female
18,Female
20,Female
20,Male
10,Male
15,Female
10,Female
15,Male
5,Female
10,Female
10,Male
13,Male
20,Male
3,Female
12,Male
10,Male
20,Male
11,Female
14,Female
10,Female
10,Male
13,Female
1,Female
10,Female
20,Male
16,Female
10,Female
5,Female
12,Female
10,Female
10,Male
10,Female
12,Female
9,Female
3,Female
1,Female
15,Female
10,Female
15,Male
5,Male
17,Male
17,Male
13,Male
1,Female
13,Male
3,Female
11,Female
13,Female
10,Female
12,Female
10,Female
10,Female
10,Female
10,Female
17,Female
13,Female
18,Male
15,Male
10,Male
18,Male
10,Male
13,Male
10,Male
10,Male
10,Female
15,Female
15,Female
17,Female
5,Female
12,Female
10,Female
10,Female
12,Female
5,Female
15,Female
NA,Female
20,Female
7,Female
5,Female
15,Female
15,Male
13,Male
15,Female
13,Male
15,Male
5,Female
13,Female
14,Male
15,Male
12,Female
15,Female
10,Female
10,Female
18,Male
10,Female
5,Female
10,Female
12,Female
6,Female
10,Female
9,Female
15,Female
12,Female
13,Female
10,Female
12,Female
7,Female
15,Female
10,Female
10,Female
18,Female
15,Female
10,Female
1,Female
5,Male
10,Male
NA,Male
17,Male
20,Male
10,Female
NA,Female
8,Male
13,Female
3,Female
15,Female
3,Female
16,Male
12,Female
10,Female
5,Male
8,Female
10,Female
12,Male
20,Male
5,Female
10,Male
11,Female
20,Male
16,Male
12,Male
5,Female
10,Female
8,Male
10,Female
18,Female
12,Female
1,Female
12,Female
10,Female
10,Female
10,Female
10,Female
20,Female
10,Female
15,Female
10,Female
5,Female
10,Female
10,Female
20,Male
10,Male
10,Male
5,Female
15,Female
8,Female
18,Female
13,Female
12,Male
8,Female
18,Female
15,Male
15,Male
17,Male
10,Female
10,Female
18,Male
19,Male
