Math,Verbal,Credits,Year,Exer,Sleep,Veg?,Cell
640,470,15,1,60,7,no,yes
660,650,14,1,20,7.5,no,yes
550,580,15,2,0,9,no,no
560,660,16,1,30,7,no,yes
600,790,15,4,45,6.5,some,no
560,640,16,2,75,4.5,yes,no
550,660,14,1,30,7,no,yes
600,560,13,1,0,7,yes,yes
540,560,16,1,30,7,no,no
540,540,14,1,30,8,no,yes
600,620,16,1,30,8,some,yes
670,640,17,1,20,8.5,no,no
680,550,15,1,0,6.5,no,yes
400,400,18,2,20,7.5,no,yes
450,430,13,3,0,8,no,yes
660,630,16,3,15,8,some,yes
620,630,16,1,0,6.5,no,no
720,720,17,3,45,6.5,no,no
NA,NA,16,4,45,9,no,no
660,660,16,1,20,7.5,no,yes
680,520,15,1,90,8,no,yes
520,640,17,1,20,7.5,,yes
580,580,16,1,120,8,no,yes
710,730,18,1,45,8,,no
550,550,17,2,60,8,no,yes
560,600,16,1,0,15,no,no
560,530,15,1,0,6,no,yes
690,650,18,1,150,6.5,no,no
740,800,16,3,0,6,no,no
710,730,17,1,90,7,some,no
700,730,14,2,60,6,no,yes
650,610,16,2,0,8.5,no,no
580,530,16,1,0,6,no,yes
500,550,15,1,45,7,no,yes
680,590,15,1,0,6.5,no,yes
500,650,12,3,0,7,no,no
NA,NA,18,2,60,7,no,yes
660,690,17,1,0,5,no,yes
650,600,17,1,45,7,no,yes
NA,NA,15,1,0,7,no,yes
NA,NA,16,3,0,4.5,some,yes
490,510,17,1,10,6.5,no,yes
460,530,NA,3,0,5.5,no,yes
680,700,15,1,0,8,no,yes
590,550,16,1,120,6.5,no,yes
680,660,14,1,60,7.5,no,yes
NA,NA,17,3,30,4,no,no
590,600,15,1,0,6,no,yes
560,680,16,2,0,7,no,no
540,560,16,1,0,7,no,yes
530,530,13,1,30,8,no,yes
670,550,16,1,50,9,no,yes
540,600,14,2,0,9,no,yes
650,630,16,2,90,4,no,no
550,540,16,1,0,7,no,yes
580,580,17,1,60,6,no,yes
520,710,16,1,0,6,no,yes
610,750,16,1,45,9,no,no
590,600,15,3,30,6.5,no,yes
740,650,NA,NA,NA,8,yes,no
680,680,16,1,0,8,no,yes
NA,NA,16,2,20,8,no,no
620,580,15,2,60,11.5,no,yes
480,480,16,3,120,7,no,yes
690,600,20,3,0,7,no,no
610,600,14,2,75,9,no,yes
550,510,17,NA,60,6,no,yes
580,610,18,4,60,7,no,yes
550,650,12,NA,30,6,no,yes
450,520,16,2,35,7,no,yes
670,540,17,2,0,7.5,no,yes
640,650,17,2,60,8,no,yes
780,610,19,1,0,8.5,no,yes
610,540,16,1,0,8,no,no
610,680,15,3,30,6.5,no,yes
600,580,16,2,120,9,no,yes
640,640,12,NA,0,7,no,yes
680,400,13,2,120,8,no,yes
NA,NA,17,2,0,8,no,yes
620,670,16,4,30,8,no,yes
670,640,13,1,0,8.5,no,yes
630,720,17,2,120,6,no,yes
NA,NA,16,4,30,6.5,no,yes
700,770,16,2,10,6.5,no,no
590,520,16,1,0,7.5,no,yes
620,630,17,1,40,5.5,no,yes
550,480,16,1,15,8,no,yes
NA,NA,16,3,0,7.5,no,yes
680,660,16,2,0,8,no,yes
590,700,16,1,30,9,no,yes
620,490,17,3,30,7.5,no,yes
650,670,17,2,0,7,some,no
720,660,17,2,120,7,yes,no
760,550,18,2,180,8,no,yes
650,650,12,2,30,7.5,no,no
570,620,15,2,0,8,no,yes
520,610,16,1,0,8.5,no,no
710,450,16,4,30,9,no,yes
650,530,16,1,0,7.5,no,yes
680,580,14,3,60,7,no,yes
720,630,15,1,0,7,no,yes
680,620,16,1,0,9.5,no,yes
590,600,14,2,300,5.5,no,yes
500,500,16,2,30,7.5,no,no
640,620,14,3,90,5.5,no,yes
690,710,18,1,60,8.5,no,yes
590,580,15,2,0,8,no,yes
580,580,16,1,0,6,no,yes
650,590,16,1,0,9,no,no
540,560,14,2,0,7,no,yes
590,460,16,1,0,5,no,no
NA,NA,15,1,0,8,no,yes
600,560,15,1,0,8.5,some,yes
500,590,15,1,30,6,yes,no
600,600,16,2,0,8.5,yes,yes
730,560,19,NA,0,8,no,yes
550,540,7,NA,15,9,yes,no
770,710,16,4,30,8,no,yes
670,500,13,1,0,9.5,no,yes
620,640,17,2,0,8.5,some,yes
600,530,13,2,60,9,no,no
700,480,16,1,20,9,no,yes
650,540,14,2,120,5.5,no,yes
580,540,17,1,0,12,no,yes
660,740,17,2,0,8,no,yes
680,650,14,3,0,8,no,yes
NA,NA,18,2,45,7,no,yes
540,550,16,3,15,8.5,no,yes
570,540,17,1,90,5,no,no
600,490,14,1,0,7,no,no
550,580,14,2,90,8,no,yes
650,650,16,3,5,7,some,yes
620,540,18,1,45,9,no,yes
540,520,12,4,75,8.5,no,yes
550,560,17,2,60,6,no,yes
NA,NA,10,2,0,9,no,yes
680,670,18,2,30,8,no,yes
560,550,13,3,0,7,no,yes
500,600,15,1,1,6,no,yes
620,520,16,2,60,8,no,yes
590,590,16,2,0,8.5,no,yes
670,670,15,1,75,8,no,yes
630,570,16,1,60,6,no,yes
550,550,17,2,15,8,no,yes
530,700,16,2,0,7,no,yes
670,700,17,1,0,6,no,yes
650,670,16,2,50,9.5,no,yes
680,720,16,1,0,8,no,yes
670,630,13,2,0,9.5,no,yes
750,760,12,3,120,7.5,no,yes
650,490,17,2,150,6,no,yes
590,580,17,4,40,5,no,no
NA,NA,13,NA,40,7,no,yes
600,580,11,3,0,7,no,yes
750,700,15,1,20,8,no,no
480,530,12,3,0,7,no,yes
760,670,15,1,90,8,no,yes
640,720,18,1,80,7.5,no,no
680,590,18,1,0,8,yes,no
570,570,17,1,90,4.5,yes,yes
700,700,15,1,120,7,no,yes
700,750,17,2,30,7,no,no
650,650,16,2,15,6,no,yes
720,610,18,NA,NA,7.5,some,no
780,680,15,2,60,5.5,no,yes
520,580,16,1,0,9,no,yes
720,640,14,2,0,5.5,no,yes
720,610,18,2,20,7.5,some,no
