Unit,Module,Filename,Question,Question ID,Blank,Choices,Correct Answer
_u0_overview_metacog,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-inline-assessment/_u01_m01_metacog_DIGT_4_inline.xml,"Rudolfo anticipates a very busy semester, so he completes his entire C@CM course by the second week of the semester, passing each unit review test easily. While this frees up his time for other courses, he finds that when he goes to take the final exam five weeks later, he has forgotten a lot of what he learned. Rudolfo failed to _________(ans).",0234630108,ans,"{'A': 'properly assess the task properly assess the task', 'B': 'accurately evaluate his own strengths and weaknessesaccurately evaluate his own strengths and weaknesses', 'C': 'plan an effective strategy for working through the courseplan an effective strategy for working through the course', 'D': 'successfully monitor his own performancesuccessfully monitor his own performance', 'E': 'adjust his approachadjust his approach'}",plan an effective strategy for working through the courseplan an effective strategy for working through the course
_u0_overview_metacog,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-inline-assessment/_u01_m01_metacog_DIGT_4_inline.xml,"Penelope has worked her way through the entire C@CM course by skipping the text and jumping straight to the activities, which she enjoys. When she doesn’t get an answer right on one of the activities, she just tries other answers until she discovers the correct one. Unfortunately, she does not pass the final exam the first time it’s offered, and thus has to learn the material all over again in time for the next final exam date. “Oh well,” she sighs: “Back to the drawing board.” Once again, she opens the first unit, skips the text, and goes straight to the activities. Penelope has failed to _________(ans2).",0263528824,ans2,"{'A': 'properly assess the taskproperly assess the task', 'B': 'accurately evaluate her own strengths and weaknessesaccurately evaluate her own strengths and weaknesses', 'C': 'plan an effective strategy for working through the courseplan an effective strategy for working through the course', 'D': 'successfully monitor her own performancesuccessfully monitor her own performance', 'E': 'adjust her approachadjust her approach'}",adjust her approachadjust her approach
_u0_overview_metacog,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-inline-assessment/_u01_m01_metacog_DIGT_4_inline.xml,"Trevor jumps over the pre-assessment at the beginning of the Responsible Computing unit and dives straight into the text, reading all the explanatory content, doing all the activities, and completing the unit quiz. After acing the final exam, he complains to one of his friends: “I knew all that Responsible Computing stuff to begin with. I really don’t know why I had to do all that work.” Trevor could have saved himself time and effort if he had made an effort to _________(ans3).",0272529125,ans3,"{'A': 'properly assess the taskproperly assess the task', 'B': 'accurately evaluate his own strengths and weaknessesaccurately evaluate his own strengths and weaknesses', 'C': 'plan an effective strategy for working through the courseplan an effective strategy for working through the course', 'D': 'successfully monitor his own performancesuccessfully monitor his own performance', 'E': 'adjust his approachadjust his approach'}",accurately evaluate his own strengths and weaknessesaccurately evaluate his own strengths and weaknesses
_u0_overview_metacog,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-inline-assessment/_u01_m01_metacog_DIGT_4_inline.xml,"Margot doesn’t give much thought to how she approaches C@CM; she just goes to a unit, tries things, then takes the Exam-readiness Quiz. Sometimes she does well, sometimes she doesn’t. She’s really not sure how she’ll do on the final exam. Margot has not _________(ans4).",0277628899,ans4,"{'A': 'assessed the taskassessed the task', 'B': 'evaluated her own strengths and weaknessesevaluated her own strengths and weaknesses', 'C': 'planned a strategy for working through the courseplanned a strategy for working through the course', 'D': 'monitored her own performancemonitored her own performance', 'E': 'adjusted her approachadjusted her approach'}",adjusted her approachadjusted her approach
_u0_overview_metacog,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-inline-assessment/_u01_m01_metacog_DIGT_4_inline.xml,"Pablo has a busy semester, and he does not want to give too much time to C@CM. ""After all, it’s just a pass/fail course,"" he thinks to himself. So he ignores the course all semester, figuring that he’ll spend an entire weekend at the end of the term working through the whole course. In the end, he fails the final exam. His principle mistake was that he did not _________(ans5).",0290811062,ans5,"{'A': 'properly assess the taskproperly assess the task', 'B': 'accurately evaluate his own strengths and weaknessesaccurately evaluate his own strengths and weaknesses', 'C': 'plan an effective strategy for working through the courseplan an effective strategy for working through the course', 'D': 'successfully monitor his own performancesuccessfully monitor his own performance', 'E': 'adjust his approachadjust his approach'}",plan an effective strategy for working through the courseplan an effective strategy for working through the course
_u0_overview_metacog,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-inline-assessment/_u0_course_components_lbd.xml,Match a hormone name to its classification and context.false,0347828865,initiatora,"{'targeta': 'targeta', 'targetb': 'targetb', 'targetc': 'targetc', 'targetd': 'targetd', 'targete': 'targete', 'targetf': 'targetf', 'targetg': 'targetg', 'targeth': 'targeth'}",targeta
_u0_overview_metacog,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-inline-assessment/_u0_course_components_lbd.xml,Match a hormone name to its classification and context.false,0347828865,initiatorb,"{'targeta': 'targeta', 'targetb': 'targetb', 'targetc': 'targetc', 'targetd': 'targetd', 'targete': 'targete', 'targetf': 'targetf', 'targetg': 'targetg', 'targeth': 'targeth'}",targetb
_u0_overview_metacog,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-inline-assessment/_u0_course_components_lbd.xml,Match a hormone name to its classification and context.false,0347828865,initiatorc,"{'targeta': 'targeta', 'targetb': 'targetb', 'targetc': 'targetc', 'targetd': 'targetd', 'targete': 'targete', 'targetf': 'targetf', 'targetg': 'targetg', 'targeth': 'targeth'}",targetc
_u0_overview_metacog,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-inline-assessment/_u0_course_components_lbd.xml,Match a hormone name to its classification and context.false,0347828865,initiatord,"{'targeta': 'targeta', 'targetb': 'targetb', 'targetc': 'targetc', 'targetd': 'targetd', 'targete': 'targete', 'targetf': 'targetf', 'targetg': 'targetg', 'targeth': 'targeth'}",targetd
_u0_overview_metacog,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-inline-assessment/_u0_course_components_lbd.xml,Match a hormone name to its classification and context.false,0347828865,initiatore,"{'targeta': 'targeta', 'targetb': 'targetb', 'targetc': 'targetc', 'targetd': 'targetd', 'targete': 'targete', 'targetf': 'targetf', 'targetg': 'targetg', 'targeth': 'targeth'}",targete
