Unit,Module,Filename,Learning Objectives
_u0_overview_metacog,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-learning_objectives/_u0_m0_learning_strategies_LO.xml,Use the OLI learning environment effectively to support your learning.
_u0_overview_metacog,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-learning_objectives/_u0_m0_learning_strategies_LO.xml,Assess your skills relative to stated objectives.
_u0_overview_metacog,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-learning_objectives/_u0_m0_learning_strategies_LO.xml,Recognize appropriate study strategies in particular situations.
_u0_overview_metacog,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-learning_objectives/_u0_m0_learning_strategies_LO.xml,Discover and execute the metacognitive cycle as you move through CC-OLI Anatomy and Physiology.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe the major functions of the endocrine system.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Identify major diseases associated with the endocrine system and their causes.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Define "hormone" and list the three hormone types.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe the precursor molecules of lipid-derived hormones and identify how lipid-derived hormones are transported.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe the precursor molecules of amino acid hormones.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe the precursor molecules of peptide-derived hormones.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe how hormones are involved in loops of homeostasis including positive feedback and negative feedback.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,List and compare the mechanisms of hormonal stimulation.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Discuss how hormone receptors maintain specificity in endocrine regulation.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,List the different locations for hormone receptors.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Define intracellular and plasma membrane hormone receptors and describe how they impact cellular gene expression.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Define G-protein-coupled hormone receptors and describe how they are messengers for signal transduction.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,List the hormones secreted by the hypothalamus and describe the functions that these hormones regulate.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe the structure of the anterior pituitary and what hormones it produces.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe the structure of the posterior pituitary and what hormones it produces.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe the structure of the thyroid gland and what hormones it produces.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Compare the production of hormones in the thyroid to other endocrine glands.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe the structure of the parathyroid glands and what hormones these glands produce.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Use anatomical terms to describe the location of the adrenal glands and the layers of the adrenal glands.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe the structure of the adrenal cortex and what hormones it produces.
