Unit,Module,Filename,Question,Explanation
_u0_overview_metacog,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-inline-assessment/_u1_lo_sc.xml,Describe some study techniques that would be especially useful when learning body system terminology and parts at the knowledge and understanding level.,"Much of this learning is based on identification of a structure on an image or by description and definition of associated terms. You could create blank classification charts, similar to the ones in the unit, and see if you can fill them in with your own words after you have studied. You could also create flashcards for terms in bold in unit or in your textbook, to help learn descriptions and definitions. Labeling and coloring activities, typically found in lab manuals, can also be useful in learning the organ system structures. Creating a flow chart that puts structures or events in sequence will help with some processes that occur in steps. See the next section on Learning Strategies for more ideas."
_u0_overview_metacog,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-inline-assessment/_u1_lo_sc.xml,Describe some study techniques that would be best suited to learning objectives at the reasoning level.,This requires you apply what you have learned about the system. You can create a mind-map that shows relationships among different parts and processes. Completing a Venn diagram is a good way to compare and contrast two or three related structures or functions and organizational tables help you analyze multiple characteristics. Watching animated videos of a physiological process and then creating your own outline or drawing of the process can help you learn the important events and how they interact. Reading case studies can help you predict and evaluate the effects on organ systems. See the next section on Learning Strategies for more ideas.
_u10_endocrine,_u10_m1_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m1_LOO/x-oli-inline-assessment/endo_LOO_hormones_lbd.xml,The cervical and uterine tissue become more sensitive to oxytocin during late pregnancy in response to increased levels of estrogen in the mother’s blood. What is changing to make this tissue more sensitive to oxytocin and enhance this positive feedback?,The steroid estrogen hormone is stimulating the transcription of protein receptors for oxytocin that are inserted into the smooth muscle cell membrane. Oxytocin binds to its receptor to stimulate stronger and longer contractions for birth.None
_u10_endocrine,_u10_m1_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m1_LOO/x-oli-inline-assessment/endo_LOO_hormones_lbd.xml,"A positive feedback loop is unstable and would result in a runaway situation if something did not terminate the continued increased stimulus. In the example of child birth, why does the feedback loop stop eventually?","After the baby is born, the stretch receptors are no longer stimulated and the release of oxytocin decreases.None"
_u10_endocrine,_u10_m1_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m1_LOO/x-oli-inline-assessment/endo_LOO_hormones_lbd.xml,"The contractions will continue for minutes to an hour after the baby is born. This helps expel the placenta, also known as the afterbirth. Why would the contractions continue for this time period even though the baby has been born?","Hormones produced before the end of stretch receptors being stimulated are still circulating in the blood and will continue to stimulate the uterine smooth muscle with receptors for oxytocin until the hormone is bound or degraded slowly. Unlike the nervous system which initiates and ends stimulation quickly, the endocrine system is not only slower to initiate, but also slower to end its effect.None"
_u10_endocrine,_u10_m1_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m1_LOO/x-oli-inline-assessment/endo_LOO_regulation_lbd.xml,"Look at letter “E” on the feedback diagram. What would be the advantage of input from other parts of the brain continuing to stimulate the hypothalamus, and thus more thyroid hormone production even if the blood level has returned within normal homeostatic range?","Temporarily increased levels of thyroid releasing and stimulating hormone would result in elevated thyroid hormone levels above the homeostatic range. This would allow the body to generate metabolic heat in an emergency situation, improving cold-tolerance along with other homeostatic body temperature regulating mechanisms. This response is most noticeable in young children.None"
_u10_endocrine,_u10_m1_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m1_LOO/x-oli-inline-assessment/endo_LOO_regulation_lbd.xml,What would be the advantage of having the negative feedback from the increased thyroid hormones to both the hypothalamus and the anterior pituitary?,"By providing feedback to “stop” the continued release of both hypothalamus releasing hormone and anterior pituitary stimulating hormone, the thyroid will more quickly stop releasing more hormone. Without this, it would take much longer for the hypothalamus to stop stimulating the anterior pituitary and then the anterior pituitary to stop stimulating the thyroid and the level of circulating thyroid hormone would fluctuate more and potentially increase above the homeostatic range. This situation, however, also makes it hard to artificially mimic the homeostatic maintenance of blood thyroid hormone levels with drug replacements. It often takes weeks or months of adjusting drug doses to treat hypothyroidism or hyperthyroidism with drugs.None"
_u10_endocrine,_u10_m1_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m1_LOO/x-oli-inline-assessment/endo_LOO_stimuli_lbd.xml,Homeostatic mechanisms stimulated by changes in body fluid composition (humoral) often involve more than one hormone in a negative feedback loop. Why would this be typical? For example: insulin decreases blood glucose while glucagon increases blood glucose; parathyroid hormone increases blood calcium levels while calcitonin from thyroid decreases blood calcium in children.,"Stimulating opposite responses to maintain body fluid homeostasis will need to involve different target cells and metabolic responses. Because each hormone has a specific receptor and specific effect on its target cells, it will take different hormones to maintain this humoral component within homeostatic range. As it increases, it would stimulate release of one hormone but not the other; as it decreases, it would stimulate release of the other hormone.None"
_u10_endocrine,_u10_m1_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m1_LOO/x-oli-inline-assessment/endo_adrenal_tt_digt.xml,What is a functional significance of the anatomical blood supply to the adrenal gland?,"This ensures quick release and distribution of these hormones to all parts of the body, especially those related to emergency or stress reactions (cortisol, epinephrine, and norepinephrine)."
_u10_endocrine,_u10_m1_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m1_LOO/x-oli-inline-assessment/endo_adrenal_tt_digt.xml,What is the functional significance that this is the only endocrine gland with autonomic nervous system innervation?,"At the same time the preganglionic sympathetic neurons are stimulating postganglionic neurons to release epinephrine at the effector organs, the adrenal gland is releasing even more epinephrine into the blood to enhance the effects to survive the emergency."
_u10_endocrine,_u10_m1_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m1_LOO/x-oli-inline-assessment/endo_pancreas_tt_digt.xml,What would be the stimulus and effect if both alpha and beta cells were secreting their hormone?,"F or PP cells can stimulate both insulin and glucagon release after a high protein meal or fasting. In the case of protein, glucagon will stimulate the conversion of excess protein into glucose and insulin will lower the resulting increase in blood glucose. In the case of fasting, both are needed to ensure glucose is made available, despite the lack of food intake. Just as with a high protein diet, both hormones contribute to sustaining the cells."
_u10_endocrine,_u10_m1_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m1_LOO/x-oli-inline-assessment/endo_parathyroid_tt_digt.xml,"Explain the difference between the three major effectors in these feedback loops: kidney reabsorption, bone resorption, and intestine absorption.","Reabsorption refers to absorbing something that has been filtered; the kidneys are moving calcium from the filtered plasma back into the blood to conserve calcium, or it is lost from the body in urine. Resorption refers to remodeling by lysis; the osteoclasts are dissolving the calcium phosphate (hydroxyapatite) bone matrix to release minerals into the blood, thereby remodeling the bone structure. Absorption refers to bringing into the body from outside, so calcium is absorbed from food into the intestinal cells and then into blood for transport through body.None"
_u10_endocrine,_u10_m1_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m1_LOO/x-oli-inline-assessment/endo_parathyroid_tt_digt.xml,Explain the physiological mechanism that connects kidney stone formation to hyperparathyroidism.,"Under the influence of increased PTH, the kidney tubule cells would not reabsorb calcium ions, so the level of blood would return to homeostatic levels, but a side-effect is increased calcium in the filtrate for excretion with urine. This excess calcium in the nephron tubules and kidney tubes can crystalize to form one of the common kidney stones that block tubes, damage tissue and cause pain.None"
