Unit,Module,Question,Question ID,Blank,Choices,Correct Answer
_u1_intro_stats_online,x-oli-inline-assessment,What grade do you think you are most likely to get in this course? _________(aa),1914689541,aa,"{'one': 'A', 'two': 'A-', 'three': 'B+', 'four': 'B', 'five': 'B-', 'six': 'C+', 'seven': 'C', 'eight': 'C-', 'nine': 'D+', 'ten': 'D', 'eleven': 'D-', 'tweleve': 'F'}",F
_u1_intro_stats_online,x-oli-inline-assessment,"Roughly, what grades do you tend to get in your math or statistics courses? _________(aa)",1957669258,aa,"{'ma': ""Mostly A's"", 'mab': ""Mostly A's and B's"", 'mb': ""Mostly B's"", 'mbc': ""Mostly B's and C's"", 'mc': ""Mostly C's"", 'mcd': ""Mostly C's and D's"", 'md': ""Mostly D's"", 'mdf': ""Mostly D's and F's"", 'mf': ""Mostly F's""}",Mostly F's
_u2_summarizing_data,_m1_examining_distributions,"Now find the median reading level of the patients: Note that the data are already ordered—that's good! We have n = _________(A) observations of the reading level of cancer patients.Since n is _________(B), the median reading level will be the _________(C) in the ordered data, which in this case is the _________(D) ranked observation.The median reading level is therefore _________(E).",6772639751,A,"{'one': '12', 'two': '30', 'three': '63', 'four': '93'}",63
_u2_summarizing_data,_m1_examining_distributions,"Now find the median reading level of the patients: Note that the data are already ordered—that's good! We have n = _________(A) observations of the reading level of cancer patients.Since n is _________(B), the median reading level will be the _________(C) in the ordered data, which in this case is the _________(D) ranked observation.The median reading level is therefore _________(E).",6772639751,B,"{'one': 'even', 'two': 'odd'}",odd
_u2_summarizing_data,_m1_examining_distributions,"Now find the median reading level of the patients: Note that the data are already ordered—that's good! We have n = _________(A) observations of the reading level of cancer patients.Since n is _________(B), the median reading level will be the _________(C) in the ordered data, which in this case is the _________(D) ranked observation.The median reading level is therefore _________(E).",6772639751,C,"{'one': 'center observation', 'two': 'average of the two center observations'}",center observation
_u2_summarizing_data,_m1_examining_distributions,"Now find the median reading level of the patients: Note that the data are already ordered—that's good! We have n = _________(A) observations of the reading level of cancer patients.Since n is _________(B), the median reading level will be the _________(C) in the ordered data, which in this case is the _________(D) ranked observation.The median reading level is therefore _________(E).",6772639751,D,"{'one': '31st', 'two': '32nd', 'three': '63rd'}",32nd
_u2_summarizing_data,_m1_examining_distributions,"Now find the median reading level of the patients: Note that the data are already ordered—that's good! We have n = _________(A) observations of the reading level of cancer patients.Since n is _________(B), the median reading level will be the _________(C) in the ordered data, which in this case is the _________(D) ranked observation.The median reading level is therefore _________(E).",6772639751,E,"{'one': '7', 'two': '7.5', 'three': '8', 'four': '9'}",9
_u2_summarizing_data,_m1_examining_distributions,Here are the number of hours that 9 students spend on the computer on a typical day: 1 6 7 5 5 8 11 12 15 The mean number of hours spent on the computer is: _________(A),0778129101,A,"{'one': '7.00', 'two': '7.78', 'three': '8.23', 'four': '9.14'}",7.78
_u2_summarizing_data,_m1_examining_distributions,The mode of the readability level for the pamphlets is _________(B) Note that the frequencies of each level have already been determined.,86175704,B,"{'one': '8', 'two': '16', 'three': '1', 'four': '17'}",8
_u2_summarizing_data,_m1_examining_distributions,Here are the number of hours that 9 students spend on the computer on a typical day: 1 6 7 5 5 8 11 12 15 The mode number of hours spent on the computer is _________(A).,2474188805,A,"{'one': '5', 'two': '5.5', 'three': '7.5', 'four': '8'}",5
