Unit,Module,Sentences
_u0_learning_strategies,x-oli-workbook_page,OLI Statistics is not your typical course.
_u0_learning_strategies,x-oli-workbook_page,Our goal is for you to work through the course materials online on your own time and in the way that is most efficient given your prior knowledge.
_u0_learning_strategies,x-oli-workbook_page,"While you will have more flexibility than you do in a traditional course, you will also have more responsibility for your own learning."
_u0_learning_strategies,x-oli-workbook_page,You will need to: Plan how to work through each unit.
_u0_learning_strategies,x-oli-workbook_page,Determine how to use the various features of the course to help you learn.
_u0_learning_strategies,x-oli-workbook_page,Decide when you need to seek additional support.
_u0_learning_strategies,x-oli-workbook_page,"What You Need to Know about Each Unit Each unit in this course has features designed to support you as an independent learner, including the following: StatTutors, occur at the end of some modules."
_u0_learning_strategies,x-oli-workbook_page,"In these labs, you will practice the process of a statistical investigation."
_u0_learning_strategies,x-oli-workbook_page,You will investigate a research question using real data and technology.
_u0_learning_strategies,x-oli-workbook_page,"Each unit in this course has features designed to support you as an independent learner, including the following: StatTutors, occur at the end of some modules."
_u0_learning_strategies,x-oli-workbook_page,"In these labs, you will practice the process of a statistical investigation."
_u0_learning_strategies,x-oli-workbook_page,You will investigate a research question using real data and technology.
_u1_intro_stats_online,x-oli-workbook_page,Probability and Statistics is not your typical course.
_u1_intro_stats_online,x-oli-workbook_page,"Our goal is for you to work through the course materials online, in your own time, and in the way that is most efficient given your prior knowledge."
_u1_intro_stats_online,x-oli-workbook_page,"While you will have more flexibility than you do in a traditional course, you will also have more responsibility for your own learning."
_u1_intro_stats_online,x-oli-workbook_page,You will need to Plan how to work through each unit.
_u1_intro_stats_online,x-oli-workbook_page,Determine how to use the various features of the course to help you learn.
_u1_intro_stats_online,x-oli-workbook_page,Decide when you need to seek additional support.
_u1_intro_stats_online,x-oli-workbook_page,"What You Need to Know about Each Unit Each unit in this course has features designed to support you as an independent learner, including the following: StatTutors, occur at the end of some modules."
_u1_intro_stats_online,x-oli-workbook_page,"In these labs, you will practice the process of a statistical investigation."
_u1_intro_stats_online,x-oli-workbook_page,You will investigate a research question using real data and technology.
_u1_intro_stats_online,x-oli-workbook_page,"Each unit in this course has features designed to support you as an independent learner, including the following: StatTutors, occur at the end of some modules."
