Unit,Module,Question,Explanation
_u1_intro_stats_online,x-oli-inline-assessment,How could understanding the ideas of statistics be more useful than just knowing the formulas?,None Thank you for your response.
_u1_intro_stats_online,x-oli-inline-assessment,"In your own words, why are the deep ideas of statistics useful in today’s world?",None Thank you for your response.
_u1_intro_stats_online,x-oli-inline-assessment,Don't worry about writing a perfect final draft. We just want to know how you would convey your advice to another student in your own words.,None Thank you for your response.
_u1_intro_stats_online,x-oli-inline-assessment,"You have seen how pushing your brain to make sense of what you are reading is the key to learning deeply. In the box below, try to invent your own study strategy that you can use to actively challenge your brain in this course, and give it a memorable name.",None Thank you for your response.
_u2_summarizing_data,_m1_examining_distributions,Getting information from the output: a. How many observations are in this data set? b. What is the mean age of the actors who won the Oscar? c. What is the five-number summary of the distribution?,"Ra. There are n = 44 observations in the data set (representing the age of the Best Actor Oscar winners of the 44 years from 1970 through 2013).b. Mean = 44.98c. The five-number summary is:min = 29, Q1 = 38, M = 43.5, Q3 = 50.5, Max = 76StatCruncha. There are n = 44 observations in the data set (representing the age of the Best Actor Oscar winners of the 44 years from 1970 through 2013).b. Mean = 44.98c. The five-number summary is:min = 29, Q1 = 38, M = 43.5, Q3 = 50.5, Max = 76Minitaba. There are n = 44 observations in the dataset (representing the age of the Best Actor Oscar winners of the 44 years from 1970 to 2013).b. Mean = 44.98c. The five-number summary is:min = 29, Q1 = 38, M = 43.5, Q3 = 50.5, Max = 76Excel 2007a. There are n = 44 observations in the dataset (representing the age of the Best Actor Oscar winners of the 32 years from 1970 to 2013).b. Mean = 44.98c. The five-number summary is:min = 29, Q1 = 38, M = 43.5, Q3 = 50.5, Max = 76TIa. There are n = 44 observations in the dataset (representing the age of the Best Actor Oscar winners of the 44 years from 1970 to 2013).b. Mean = 44.98c. The five-number summary is:min = 29, Q1 = 38, M = 43.5, Q3 = 50.5, Max = 76"
_u2_summarizing_data,_m1_examining_distributions,Get information from the five-number summary: a. Half of the actors won the Oscar before what age? b. What is the range covered by all the actors' ages? c. What is the range covered by the middle 50% of the ages?,Ra. Half the actors won the Oscar before age 43.5 (the median).b. The range covered by all the ages is: Range = Max - min = 76 - 29 = 47.c. The range covered by the middle 50% of the ages is: IQR = Q3 - Q1 = 50.5 - 38 = 12.5.StatCruncha. Half the actors won the Oscar before age 43.5 (the median).b. The range covered by all the ages is: Range = Max - min = 76 - 29 = 47.c. The range covered by the middle 50% of the ages is: IQR = Q3 - Q1 = 50.5 - 38 = 12.5.Minitaba. Half the actors won the Oscar before age 43.5 (the median).b. The range covered by all the ages is: Range = Max - min = 76 - 29 = 47.c. The range covered by the middle 50% of the ages is: IQR = Q3 - Q1 = 50.5 - 38 = 12.5.Excel 2007a. Half the actors won the Oscar before age 43.5 (the median).b. The range covered by all the ages is: Range = Max - min = 76 - 29 = 47.c. The range covered by the middle 50% of the ages is: IQR = Q3 - Q1 = 50.5 - 38 = 12.5.TIa. Half the actors won the Oscar before age 43.5 (the median).b. The range covered by all the ages is: Range = Max - min = 76 - 29 = 47.c. The range covered by the middle 50% of the ages is: IQR = Q3 - Q1 = 50.5 - 38 = 12.5.
_u2_summarizing_data,_m1_examining_distributions,"Compare and contrast the distributions of the graduation rates at the different colleges. Be sure to address center, spread and outliers.","RCenter:Of the six colleges, college D has the highest median graduation rate (M = 79), followed by colleges F (M = 72), B (M = 70.15), C (M = 67.65), A (M = 63.75) and college E (M = 59.15).Spread:College B has the smallest variation in graduation rates over the years (range = 9.4%, IQR = 3.5%). College D's graduation rates are also pretty consistent over the years (range = 10.5%, IQR = 4.45%). A larger variation in graduation rates is found in colleges E and C, and the least consistency in graduation rates (i.e., largest variation) is found in college A (range = 30.6%, IQR = 19.55%) and college F (range = 29.7%, IQR = 16.23%).None of the graduation rates distributions have outliers.StatCrunchCenter:Of the six colleges, college D has the highest median graduation rate (M = 79), followed by colleges F (M = 72), B (M = 70.15), C (M = 67.65), A (M = 63.75) and college E (M = 59.15).Spread:College B has the smallest variation in graduation rates over the years (range = 9.4%, IQR = 4%). College D's graduation rates are also pretty consistent over the years (range = 10.5%, IQR = 6.1%). A larger variation in graduation rates is found in colleges E and C, and the least consistency in graduation rates (i.e., largest variation) is found in college A (range = 30.6%, IQR = 20.6%) and college F (range = 29.7%, IQR = 19.15%).None of the graduation rates distributions have outliers.MinitabCenter:Of the six colleges, college D has the highest median graduation rate (M = 79), followed by colleges F (M = 72), B (M = 70.15), C (M = 67.65), A (M = 63.75) and college E (M = 59.15).Spread:College B has the smallest variation in graduation rates over the years (range = 9.4%, IQR = 4.5%). College D's graduation rates are also pretty consistent over the years (range = 10.5%, IQR = 7.75%). A larger variation in graduation rates is found in colleges E and C, and the least consistency in graduation rates (i.e., largest variation)is found in college A (range = 30.6%, IQR = 21.65%) and college F (range = 29.7%, IQR = 22.07%).None of the graduation rates distributions have outliers.Excel 2007Clickhere to see the descriptive statistics and the graph. Note that these might look a little different than the ones you generated depending on the version of Excel you are using, but the values should be the same.Center:Of the six colleges, college D has the highest median graduation rate (M = 79), followed by colleges F (M = 72), B (M = 70.15), C (M = 67.65), A (M = 63.75) and college E (M = 59.15).Spread:College B has the smallest variation in graduation rates over the years (range = 9.4%, IQR = 3.5%). College D's graduation rates are also pretty consistent over the years (range = 10.5%, IQR = 4.45%). A larger variation in graduation rates is found in colleges E and C, and the least consistency in graduation rates (i.e., largest variation) is found in college A (range = 30.6%, IQR = 19.55%) and college F (range = 29.7%, IQR = 16.23%).None of the graduation rates distributions have outliers.TI CalculatorClickhere to see the descriptive statistics and the graph.Center:Of the six colleges, college D has the highest median graduation rate (M = 79), followed by colleges F (M = 72), B (M = 70.15), C (M = 67.65), A (M = 63.75) and college E (M = 59.15).Spread:College B has the smallest variation in graduation rates over the years (range = 9.4%, IQR = 3.5%). College D's graduation rates are also pretty consistent over the years (range = 10.5%, IQR = 4.45%). A larger variation in graduation rates is found in colleges E and C, and the least consistency in graduation rates (i.e., largest variation) is found in college A (range = 30.6%, IQR = 19.55%) and college F (range = 29.7%, IQR = 16.23%).None of the graduation rates distributions have outliers."
_u2_summarizing_data,_m1_examining_distributions,"If you had to choose one college among the six colleges based on this data, which college would it be? Explain your reasoning.","If I had to choose one college based on the graduation rates, I would choose college D. Not only does this college have the largest median graduation rates, but it also has the smallest variation in graduation rates over the years. This means that even in years when college D has a relatively small graduation rate, it is not MUCH smaller than the median (min = 74.1%, Median = 79%), and is still higher than most graduation rates at the other colleges. In particular, the smallest graduation rate that occurred in college D (74.1%), is still higher than:• the highest graduation rate at colleges A and E,• the third quartile of the distribution of graduation rates at colleges B and C, and• the median graduation rate at college F."
_u2_summarizing_data,_m1_examining_distributions,"If you were debating between colleges B and F only, which one would you choose based on this data? Explain your reasoning.","While Colleges B and F have about the same median graduation rate (B: 70.15%, F: 72%), there is a big difference in the variation. College F has a very large variation, and therefore a much less consistent gradation rate over the years (it can get as low as 57.7%). College B, on the other hand, has a much more consistent graduation rate (small variability), and in that sense, college B is less ""risky."" Since I am not a ""risk taker,"" and since both colleges have approximately the same median graduation rate, my choice between the two would be college B."
_u2_summarizing_data,_m1_examining_distributions,Explain why you cannot calculate the mean (average) reading level of patients given the above data.,"In order to find the mean, we need the actual values of ALL the observations. Since not all the reading levels can be determined exactly, we have 23 observations (6 below level 3, and 17 above level 12) for which we do not know the actual values."
_u2_summarizing_data,_m1_examining_distributions,Find the median readability level of the pamphlets.,"The median readability level of the cancer pamphlets is M = 9. We have 30 readability level data points, and therefore the median will be the mean of the observations located at the (30 / 2) = 15th and (30 / 2) + 1 = 16th spots in the ordered list. Taking the counts into consideration, we find that both the 15th and 16th ranked observations are 9, and therefore the median is (9 + 9) / 2 = 9."
_u2_summarizing_data,_m1_examining_distributions,Can you conclude that the pamphlets are well matched to the patients' reading levels? Look carefully at the data.,"Even though the medians of the reading and readability levels are the same, the pamphlets are not well matched to patients' reading levels. Note that the pamphlets' readability level starts at grade level 6, while there are 17 (6 + 4 + 4 + 3) cancer patients whose reading level is below that. These 17 cancer patients therefore do not have any pamphlets that they can fully comprehend."
_u2_summarizing_data,_m1_examining_distributions,"Remove all points by clicking on the trash. Place three observations on the line by clicking below it, two close together near the center of the line, and one somewhat to the right of those two. Pull the single right-most observation out to the right. (Place the cursor on the point, hold down the mouse button, and drag the point.) How does the mean behave? How does the median behave? Make sure you understand why each measure acts as it does.","As we move the single right-most observation out to the right, the mean also moves to the right, while the median stays in its place. By moving the point to the extreme right we are creating an outlier, and outliers affect the mean and not the median. The mean is affected because it's a numerical average of all the values. The median is affected only by the order of the observations (which has not changed)."
_u2_summarizing_data,_m1_examining_distributions,Now place 5 observations on the line by clicking below it. Add one additional observation without changing the median. Where is your new point?,"For the median to remain as it is, the new point has to be at exactly the same place where the median already is located."
_u2_summarizing_data,_m1_examining_distributions,"Use the applet to convince yourself that when you add another observation to those already in place from the last exercise (there will now be 7 in total), the median does not change, regardless of where you put the 7th point. Do you understand why this is the case?","When we had six points, our median was the average of the two central points, which were equal in our case. Once we added one more point (now a total of 7 points), the median stays the same, because one of the two central points from the original dataset will now be among the upper half of the points or the lower half, depending on where you put the new point, but the other one remains as the ""center"" observation, i.e., the median."
_u2_summarizing_data,_m1_examining_distributions,"Assume that the average rating in each of the three classes is 5 (which should be visually reasonably clear from the histograms), and recall the interpretation of the SD as a ""typical"" or ""average"" distance between the data points and their mean. Judging from the table and the histograms, which class would have the largest standard deviation, and which one would have the smallest standard deviation? Explain your reasoning.","In class I, almost all the ratings are 5, which is also the mean. The average distance between the observations and the mean, then, would be very small. In class II most of the observations are far from the mean (at 1 or 9). The average distance between the observations and the mean in this case would be larger. Class III is the case where some of the observations are close to the mean, and some are far, so the average distance between the observations and the mean would be somewhere in between class I and II. This observation would lead me to conclude that the standard deviation would be ranked (from smallest to largest): Class I, Class III, Class II."
_u2_summarizing_data,_m1_examining_distributions,What are the standard deviations of the three rating distributions? Was your intuition correct?,"Note that through this example, we also learn that the number of distinct values represented in a histogram does not necessarily indicate greater variability."
_u2_summarizing_data,_m1_examining_distributions,"In the textbox below, describe the distribution of the ages of the Best Actor Oscar winners. Be sure to address shape, center, spread and outliers. When you are done, compare your answer to ours.","Shape: the distribution is skewed right. This means that most actors receive the best acting Oscar at a relatively younger age (before age 48), and fewer at an older age.Center: The distribution seems to be centered at around 42-43. This means that about half the actors are 42 or younger when they receive the Oscar, and about half are older.Spread: The age distribution ranges from about 30 to about 75. The entire dataset is covered, then, by a range of 45 years. It should be noted, though, that there is one high outlier at around age 75, and the rest of the data ranges only from 30 to 60.Outliers: As mentioned above, there is one high outlier at around age 75."
_u2_summarizing_data,_m1_examining_distributions,"Describe the distribution of the variable ""friends"" in context:","The students arenot divided equally among the three categories. About 50% of the students find it as easy to make friends with the opposite sex as with the same sex. Among the remaining 50% of the students, the majority (36.2%) find it easier to make friends with people of the opposite sex, and the remainder (13.7%) find it easier to make friends with people of their own sex."
_u2_summarizing_data,_m2_examining_relationships,(Don't worry about writing a perfect final draft. We just want to know how you would say this in your own words.),migrated
_u2_summarizing_data,_m2_examining_relationships,"Compare the distribution of nearsightedness between those exposed to lamp light, a night-light, or no light at all. What do the conditional percentages derived from the data suggest about the relationship between early nighttime exposure to light and later myopia? Should parents worry about using night-lights and lamps with young children?","9.9%. Those exposed to a night-light were nearsighted 34.1% of the time, and those exposed to a lamp were nearsighted54.7% of the time. Note that these percentages show that children who slept with a lamp were about 5 times more likely to develop nearsightedness than the children who slept with no light.Based upon this data alone, parents might discontinue using night-lights and lamps with young children, as their use seems to be associated with nearsightedness when the children grow up. However, there is a strong argument against this conclusion, which will be presented in a later lesson."
_u2_summarizing_data,_m2_examining_relationships,Do the data provide evidence that early light exposure causes myopia?,"Association does not imply causation. We cannot conclude that light exposure in early childhood somehow causes myopia in older children. The data is suggestive of a relationship, but we can't rule out the possibility that a lurking variable is associated with parents' use of light with their young children and the children's later myopia."
_u2_summarizing_data,_m2_examining_relationships,What is a likely lurking variable in this case that could explain this observed relationship? (Hint: This lurking variable affects both the type of light with which a child sleeps and the child's later nearsightedness.),"A lurking variable that can very likely explain the observed relationship in this case is the nearsightedness of the child's parents (one or both). If the parents are nearsighted, then their child is more likely to be nearsighted due to genetic factors. Also, nearsighted parents are more likely to leave more light near their sleeping children to make it easier to care for them at night. Clickhere to see a visual explanation of this."
_u2_summarizing_data,_m2_examining_relationships,Report the correlation between gestation and longevity and comment on the strength and direction of the relationship. Interpret your findings in context.,"The correlation is r = 0.663. The relationship is moderately strong and positive. The positive direction of the relationship means that, in general, animals that have a longer lifespan also have longer pregnancies. The moderate strength of the relationship tells us that there is some considerable variation around the relationship's linear form."
_u2_summarizing_data,_m2_examining_relationships,Report the new value for the correlation between gestation and longevity and compare it to the value you found earlier when the outlier was included. What is it about this outlier that results in the fact that its inclusion in the data causes the correlation to increase? (Hint: look at the scatterplot.),"After removing the outlier, the correlation drops from .663 to .519. The elephant is an outlier, however, it is consistent with the linear form of the relationship between longevity and gestation period. In this case, it would be most informative to report both correlations."
