Unit,Module,Filename,Sentences
_u0_overview_metacog,x-oli-workbook_page,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-workbook_page/_u0_m01_metacog_00.xml,"Bill & Melinda Gates Foundation, The William and Flora Hewlett Foundation, and the Lumina Foundation, the CC-OLI project brought together teams of community college faculty content experts, learning scientists, human-computer interaction experts, and software engineers to make best use of multidisciplinary knowledge for designing effective learning environments."
_u0_overview_metacog,x-oli-workbook_page,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-workbook_page/_u0_m0_metacog_1.xml,"A primary goal of the Open Learning Initiative is not only to teach the content within the disciplines of our courses, but also, through the manner in which these courses are presented, to support better learning."
_u0_overview_metacog,x-oli-workbook_page,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-workbook_page/_u0_m0_metacog_1.xml,"This course incorporates some of the foremost scientific research on learning, and attempts to guide you through the material in a thoughtful fashion, incorporating data gathered by the Open Learning Initiative from students just like you, learning this subject."
_u0_overview_metacog,x-oli-workbook_page,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-workbook_page/_u0_m0_metacog_1.xml,Data from your own learning process and feedback will help us continue to make adjustments and improvements.
_u0_overview_metacog,x-oli-workbook_page,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-workbook_page/_u0_m0_metacog_1.xml,"This data provides insight into the structure of knowledge and knowledge construction, the role of activities and feedback in courses, and techniques for accelerating student learning and improving learning gains."
_u0_overview_metacog,x-oli-workbook_page,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-workbook_page/_u0_m0_metacog_1.xml,Overall Course Structure OLI Anatomy and Physiology is not your typical course.
_u0_overview_metacog,x-oli-workbook_page,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-workbook_page/_u0_m0_metacog_1.xml,"Whether you are working through the course independently or using it as a resource in a face-to-face or asynchronous course, our goal is for you to work through the course materials online in the way that is most efficient given your prior knowledge."
_u0_overview_metacog,x-oli-workbook_page,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-workbook_page/_u0_m0_metacog_1.xml,"While you may have more flexibility than you do in a traditional course, you will also have more responsibility for your own learning."
_u0_overview_metacog,x-oli-workbook_page,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-workbook_page/_u0_m0_metacog_1.xml,"You will need to: Completing This Course Efficiently and Effectively When starting an online course, most people neglect planning, opting instead to jump in and begin working."
_u0_overview_metacog,x-oli-workbook_page,/Users/pawan/Documents/Project/a_and_p/content//_u0_overview_metacog/x-oli-workbook_page/_u0_m0_metacog_1.xml,"While this might seem efficient (after all, who wants to spend time planning when they could be doing?"
