Unit,Module,Question,Choices,Correct Answer
_u2_summarizing_data,_m1_examining_distributions,Now find the median reading level of the patients:Note that the data are already ordered—that's good!We have n = Since n is The median reading level is therefore,"A: 
	 
12
30
63
93
B: 
	 
even
odd
C: 
	 
center observation
average of the two center observations
D: 
	 
31st
32nd
63rd
E: 
	 
7
7.5
8
9
","A: 63
B: odd
C: center
D: 32nd
E: 9
"
_u2_summarizing_data,_m1_examining_distributions,Here are the number of hours that 9 students spend on the computer on a typical day: 1 6 7 5 5 8 11 12 15 The mean number of hours spent on the computer is:,"A: 
         
7.00
7.78
8.23
9.14
","A: 7.78
"
_u2_summarizing_data,_m1_examining_distributions,The mode of the readability level for the pamphlets is Note that the frequencies of each level have already been determined.,"B: 
         
8
16
1
17
","B: 8
"
_u2_summarizing_data,_m1_examining_distributions,Here are the number of hours that 9 students spend on the computer on a typical day: 1 6 7 5 5 8 11 12 15The mode number of hours spent on the computer is,"A: 
         
5
5.5
7.5
8
","A: 5
"
_u2_summarizing_data,_m1_examining_distributions,The data from the above 9 students forms a,"B: 
         
unimodal
bimodal
multimodal
","B: unimodal
"
_u2_summarizing_data,_m1_examining_distributions,Here are the number of hours that 15 students spend on the computer on a typical day: 1 1 2 3 6 7 5 5 5 8 8 8 11 12 15The mode number of hours spent on the computer is:,"A: 
         
1
5
8
5 and 8
Unable to determine
","A: 5_and_8
"
_u2_summarizing_data,_m1_examining_distributions,The data from the above 15 students forms a,"B: 
         
unimodal
bimodal
multimodal
","B: bimodal
"
_u2_summarizing_data,_m2_examining_relationships,The number of femalesunderweightThe number of malesabout rightThe totalfemalesThe totaloverweight,"A: 
   
37
110
163
760
B: 
   
295
440
560
855
C: 
   
440
560
760
1200
D: 
   
110
163
235
1200
","A: 37
B: 295
C: 760
D: 235
"
_u2_summarizing_data,_m2_examining_relationships,The results suggest that the proportion of males who are happy with their body weight is,"A: 
   
slightly greater
slightly less
B: 
   
about right
overweight
underweight
C: 
   
about as often as
much more often than
much less often than
","A: slightly less
B: overweight
C: about as often
"
_u2_summarizing_data,_m2_examining_relationships,"We would like to learn about the relationship between the two categorical variables ""parents' smoking"" and ""students' smoking."" More specifically, since we want to explore whether parents' smoking habits affect their children's smoking habits, the explanatory variable is","A: 
            
students' smoking
parents' smoking
B: 
            
students' smoking
parents' smoking
","A: parents' smoking
B: students' smoking
"
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the In example 4, gender is the In example 6, age is the In example 8, favorite type of music is the","A: 
   
explanatory
response
B: 
   
explanatory
response
C: 
   
explanatory
response
D: 
   
explanatory
response
E: 
   
explanatory
response
F: 
   
explanatory
response
G: 
   
explanatory
response
H: 
   
explanatory
response
","A: response
B: explanatory
C: explanatory
D: response
E: explanatory
F: response
G: response
H: explanatory
"
