Unit,Module,Question,Choices,Correct Answer
_u2_summarizing_data,_m1_examining_distributions,The histogram below displays the distribution of 50 ages at death due to trauma (accidents and homicides) that were observed in a certain hospital during a week.What percentage of deaths were individuals younger than 35?,0: 1: 34% 2: 60% 3: 68% 4: 70% 5: 80%,68%,
_u2_summarizing_data,_m1_examining_distributions,The histogram below displays the distribution of 50 ages at death due to trauma (accidents and homicides) that were observed in a certain hospital during a week.Which of the following best describes the shape of the histogram?,0: 1: Symmetric 2: Left-skewed with no outliers 3: Right-skewed with no outliers 4: Left-skewed with a possible outlier 5: Right-skewed with a possible outlier,Right-skewed with a possible outlier,
_u2_summarizing_data,_m1_examining_distributions,The histogram below displays the distribution of 50 ages at death due to trauma (accidents and homicides) that were observed in a certain hospital during a week. For the data described by the above histogram; which of the following is a correct statement about the median?,0: 1: The median will be bigger than the mean. 2: The median will be smaller than the mean. 3: The median and the mean will be about the same. 4: The median and the range will be about the same.,The median will be smaller than the mean.,
_u2_summarizing_data,_m1_examining_distributions,The histogram below displays the distribution of 50 ages at death due to trauma (accidents and homicides) that occurred in a certain hospital during a week. Which of the following is a possible value of the median in this example?,0: 1: 23 2: 45 3: 50 4: 33 5: It is impossible to answer without seeing all of the data.,33,
_u2_summarizing_data,_m1_examining_distributions,The histogram below displays the distribution of 50 ages at death due to trauma (accidents and homicides) that were observed in a certain hospital during a week. Assume that the largest observation in this dataset is 90. If this observation were wrongly recorded as 900; then what would happen to the mean and median?,0: 1: Neither the mean nor the median would change. 2: Both the mean and the median would change. 3: The mean would stay the same; but the median would change. 4: The mean would decrease; but the median would not change. 5: The mean would increase; but the median would not change.,The mean would increase; but the median would not change.,
_u2_summarizing_data,_m1_examining_distributions,The following data; on the number of children born per 1;000 women; is from the Current Population Reports—Fertility of American Women: 2008 Number of Children012345 or more Frequency45.7%17.0%21.1%10.6%3.9%1.8%What is the modal number of children born to American women in 2008?,0: 1: 0 2: 1 3: 2 4: 3,0
_u2_summarizing_data,_m1_examining_distributions,This histogram shows the times; in minutes; required for 25 rats in an animal behavior experiment to successfully navigate a maze.What percentage of the rats navigated the maze in less than 5.5 minutes?,0: 1: 21% 2: 60% 3: 68% 4: 70% 5: 84%,84%,
_u2_summarizing_data,_m1_examining_distributions,This histogram shows the times; in minutes; required for 25 rats in an animal behavior experiment to successfully navigate a maze.Which of the following best describes the shape of the histogram?,0: 1: Symmetric 2: Left-skewed with no outliers 3: Right-skewed with no outliers 4: Left-skewed with a possible outlier 5: Right-skewed with a possible outlier,Right-skewed with a possible outlier,
_u2_summarizing_data,_m1_examining_distributions,This histogram shows the times; in minutes; required for 25 rats in an animal behavior experiment to successfully navigate a maze.For the data described by the above histogram; which of the following is a correct statement about the median?,0: 1: The median will be smaller than the mean. 2: The median will be larger than the mean. 3: The median and the mean will be about the same. 4: The median and the range will be about the same.,The median will be smaller than the mean.
_u2_summarizing_data,_m1_examining_distributions,This histogram shows the times; in minutes; required for 25 rats in an animal behavior experiment to successfully navigate a maze.Which of the following is a possible value of the median in this example?,0: 1: 3.3 2: 3.9 3: 4.6 4: 5.5,3.9,
