Unit,Module,Sentence
1,1,Every behavior begins with biology.
1,1,"Our behaviors, as well as our thoughts and feelings, are produced by the actions of our brains, nerves, muscles, and glands."
1,1,"In this unit, we begin our journey into the world of psychology by considering the biological makeup of the human being, including the most remarkable of human organs—the brain."
1,1,We consider the structure of the brain and the methods psychologists use to study the brain and to understand how it works.
1,1,"Let’s begin by looking at neurons, which are nerve cells involved with all information processing in your brain."
1,1,A neuron is a cell in the nervous system whose function it is to receive and transmit information.
1,1,"Amazingly, your nervous system is composed of more than 100 billion neurons! "
1,1,"As you can see in the following figure, neurons consist of three major parts: a cell body, or soma, which contains the nucleus of the cell and keeps the cell alive; a branching, treelike fiber known as the dendrite, which collects information from other cells and sends the information to the soma; and a long, segmented fiber known as the axon, which transmits information away from the cell body toward other neurons or to the muscles and glands."
1,1,"Some neurons have hundreds or even thousands of dendrites, and these dendrites may be branched to allow the cell to receive information from thousands of other cells."
1,1,"The axons are also specialized, and some, such as those that send messages from the spinal cord to the muscles in the hands or feet, may be very long—even up to several feet in length."
1,1,"To improve the speed of their communication, and to keep their electrical charges from shorting out with other neurons, axons are often surrounded by a myelin sheath."
1,1,The myelin sheath is a layer of fatty tissue surrounding the axon of a neuron that both acts as an insulator and allows faster transmission of the electrical signal.
1,1,"Axons branch out toward their ends, and at the tip of each branch is a terminal button."
1,1,The nervous system operates using an electrochemical process (see the following video).
1,1,"An electrical charge moves through the neuron, and chemicals are used to transmit information between neurons."
1,1,"Within the neuron, when a signal is received by the dendrites, it is transmitted to the soma in the form of an electrical signal, and if the signal is strong enough, it may then be passed to the axon and then to the terminal buttons."
1,1,"If the signal reaches the terminal buttons, they are signaled to emit chemicals known as neurotransmitters, which communicate with other neurons across the spaces between the cells, known as synapses."
1,1,You will be learning more about synapses and why they are important later on in this module.
